Date,Equipment,Handedness,"Swing Details","Plane Score","Connection Score","Rotation Score","Bat Speed (mph)","Rotational Acceleration (g)","On Plane Efficiency (%)","Attack Angle (deg)","Early Connection (deg)","Connection at Impact (deg)","Vertical Bat Angle (deg)","Power (kW)","Time to Contact (sec)","Peak Hand Speed (mph)","Exit Velocity (mph)","Launch Angle (deg)","Estimated Distance (feet)"
"Jan 13, 2022 02:03:12 PM","Avenge Pro Composite BBCOR",Right,"General Practice",60,49,46,67.3,11.4,77,12,78,76,-19,3.48,0.16,22.3,,,
"Jan 13, 2022 02:03:01 PM","Avenge Pro Composite BBCOR",Right,"General Practice",64,51,40,66.3,8.9,81,7,81,76,-17,3.14,0.17,20.8,,,
"Jan 13, 2022 02:02:53 PM","Avenge Pro Composite BBCOR",Right,"General Practice",73,49,43,67.1,10.2,89,13,75,79,-14,3.43,0.16,20.7,,,
"Jan 13, 2022 02:02:46 PM","Avenge Pro Composite BBCOR",Right,"General Practice",67,47,64,64.5,18.8,84,3,71,81,-26,3.94,0.13,21.2,,,
"Jan 13, 2022 02:02:38 PM","Avenge Pro Composite BBCOR",Right,"General Practice",73,44,50,63.7,13.1,90,13,69,79,-15,3.47,0.14,21.1,,,
"Jan 13, 2022 02:02:31 PM","Avenge Pro Composite BBCOR",Right,"General Practice",57,50,55,63.9,14.9,74,12,76,80,-19,3.1,0.16,20.6,,,
"Jan 13, 2022 02:02:24 PM","Avenge Pro Composite BBCOR",Right,"General Practice",52,47,55,63.7,14.8,69,15,77,74,-8,3.01,0.17,20.8,,,
"Jan 13, 2022 02:02:17 PM","Avenge Pro Composite BBCOR",Right,"General Practice",70,44,53,73.8,14,87,18,70,77,-8,4.54,0.15,21.4,,,
"Jan 13, 2022 02:02:11 PM","Avenge Pro Composite BBCOR",Right,"General Practice",63,44,51,66.3,13.1,80,10,67,81,-17,3.66,0.15,21.3,,,
"Jan 13, 2022 01:57:53 PM","Avenge Pro Composite BBCOR",Right,"General Practice",57,48,55,60.9,15,74,13,77,76,-11,2.86,0.16,21,,,
"Jan 13, 2022 01:57:47 PM","Avenge Pro Composite BBCOR",Right,"General Practice",67,48,47,69.2,11.7,84,8,73,80,-19,3.79,0.16,22.6,,,
"Jan 13, 2022 01:57:40 PM","Avenge Pro Composite BBCOR",Right,"General Practice",62,54,54,61.8,14.6,78,8,81,79,-22,3.22,0.15,21.3,,,
